id,keywords,year,_labels,_logos,_mAdditionalNotes,_mAdditionalKeywords,_mNotesIntent,_mSigned,_mAdditionalTheme,_mNotesImageAndText,_mText,_mShow,_mTitle,_mStrategy,_mCulturalContext,_mTone,_mConcern,_mLetteringStyle,_mContains,_mMade
100B0001_DSC1727,"earth,feminism,gender equality,reproductive rights,women's rights,country,assertive,determination,solidarity",,"yellow, text, font, line, area",AESA,,"defend,body,country",,,,,I will defend my body my country my planet. ,"interlocking hands, earth, Women's March, venus symbol",I Will Defend,solidarity,famous protest slogan,"assertive, determination","earth, feminism, gender equality, reproductive rights, women's rights, country",hand-written,"text, photography","print, marker"
100B0001_DSC1729,"love,war,peace,loving,solidarity",,"product, product design, circle, triangle, pattern",,"patterns and tape are rainbow/multicolor in nature, this will probably become a theme","peace,symbol,make love not war",,,popular symbol,,,peace sign,Peace,solidarity,"pop culture, other:",loving,"love, war, peace",sticker or patterned tape,image only,"marker, patterned tape"
100B0001_DSC1731,"civil rights,feminism,gender equality,religion,reproductive rights,women's rights,Indignation,Determination,solidarity",,"yellow, text, font, art, drawing",,,"fundamental rights,hijab,flag,face,women",,,,hijab has print of american flag with stars and stripes,Girls just want to have fun-damental rights. ,"woman in flag hijab, illustrated flowers",Fun-damental Rights,solidarity,pop culture,"Indignation, Determination","civil rights, feminism, gender equality, religion, reproductive rights, women's rights","Block, Handwritten","text, illustration","Drawing, Marker"
100B0001_DSC1732,"feminism,gender equality,race,women�۪s rights,loving,supportive,solidarity",,"yellow, text, font, art, drawing",,women in hijab with american flag (either printed image or illustrated) may become theme,"woman,hijab,all women,inclusive,stand together",,,,"hijab is american flag patterned with stars and stripes, woman wearing blue and red face paint under eyes",I stand with all woman kind,"woman in hijab, venus symbol, heart",I Stand,solidarity,,"loving, supportive","feminism, gender equality, race, women�۪s rights",hand-written,"text only, text, illustration","drawing, marker"
100B0001_DSC1734,"gender equality,reproductive rights,uterus,women's rights,Humor,Indignation,solidarity",,"pink, text, magenta, purple, font",,,"female anatomy,pussy,pink,slang",,,,"alternate way to write 'pussy power'",Pussy Powa,,Pussy Powa,solidarity,,"Humor, Indignation","gender equality, reproductive rights, uterus, women's rights",geometric mosaic,text,post-its
100B0001_DSC1735,"gender equality,reproductive rights,abortion,women�۪s rights,rage,indignation,complaint",,"blue, text, handwriting, font, calligraphy, writing, line, area, art, number",,"significance of using hashtags on physical posters and the correlation with the use of hashtags online, cultural relevance of written hashtags on protest signs","pregnancy,abortion,my body,my choice,hashtag",,,,,If only men could get pregnant #mybody #myfuckingchoice #myright,"a red, scribbled circle ",If Only...,complaint,"internet, famous protest slogan","rage, indignation","gender equality, reproductive rights, abortion, women�۪s rights","block, handwritten",text only,"drawing, marker"
100B0001_DSC1736,"civil rights,institutions, supreme court, political parties,healthcare,Indignation,solidarity",,"pink, text, font, design, product",,,"health care,human rights",,,,"block letters are drawn and roughly filled in with marker, pink paper borders added to edge of poster",Health care is a human right,,Health Care Human Right,solidarity,,Indignation,"civil rights, institutions,  supreme court,  political parties, healthcare","Block, Handwritten",text,"Marker, paper border"
100B0001_DSC1737,"civil rights,feminism,gender equality,hate,lgbtq,love,migrant rights,women's rights,trump,disability,Indignation,Determination,encouragement,call to action",,"text, font, handwriting, writing, line",,,"quote,LBGTQ,women's rights,human rights,love trumps hate",,,,"zigzagging lines divide the page into sections, block letters are used and filled with different patterns","Love Trumps Hate. Women's, LGBTQ, Immigrants', Disability Rights are Human Rights. If you are neutral in situations of injustice, you have chosen the side of the oppressor","hearts, lines",Rights are Human Rights,"encouragement, call to action",famous protest slogan,"Indignation, Determination","civil rights, feminism, gender equality, hate, lgbtq, love, migrant rights, women's rights, trump, disability","Block, Handwritten","text, illustration","Drawing, Marker"
100B0001_DSC1738,"civil rights,election,uncertainty,Determination,solidarity",,"text, font, area, sign, writing",,,"quote,uncertainty,clarity",,,quote,,"""There are years that ask questions and years that answer."" -Zora Neale Hurston",,There are Years,solidarity,pop culture,Determination,"civil rights, election, uncertainty","Block, Handwritten",text,Marker
100B0001_DSC1739,"love,kindness,loving,encouragement,solidarity",,"text, font, product, product design, number",,,"be kind,kindness,encouragement",,,,,Be Kind,,Be Kind,"encouragement, solidarity",,loving,"love, kindness",block,text only,marker
100B0001_DSC1741,"guns,police brutality,death,rage,fear,indignation,solidarity",,"blue, text, font, number, design",,,"death,we are,solidarity",,,,,We Are the Dead,,The Dead,solidarity,historic reference,"rage, fear, indignation","guns, police brutality, death",block,text only,marker
100B0001_DSC1742,"black lives matter,feminism,gender equality,women�۪s rights,respect,indignation,determination,demand,call to action",,"text, purple, pink, font, violet",,"challenging behaviors associated with masculinity in certain communities, developing respect for women","hashtag,respect,strong men",,,,different words emphasized by different colors: strong and #BLM stand out,Strong men respect women! #blacklivesmatter,,Respect Women,"demand, call to action","internet, famous protest slogan","indignation, determination","black lives matter, feminism, gender equality, women�۪s rights, respect","block, handwritten",text only,marker
100B0001_DSC1743,"black lives matter,civil rights,feminism,gender equality,indigenous,islam,latino/a/x,lgbtq,migrant rights,race,reproductive rights,women's rights,disability,Loving,Determination,demand,solidarity",,"text, font, line, writing, handwriting",,,"human rights,identity,race,list,rainbow",all topics of concern listed at top of poster,,,,"Check all that apply: muslim, black, queer, women's, immigrant, native american, LGBT, disabled, Latinx Rights are Human Rights!","check boxes with check marks, rainbow",Check All that Apply,"demand, solidarity",famous protest slogan,"Loving, Determination","black lives matter, civil rights, feminism, gender equality, indigenous, islam, latino/a/x, lgbtq, migrant rights, race, reproductive rights, women's rights, disability","Block, Handwritten","text, illustration","Drawing, Marker"
100B0001_DSC1744,"civil rights,earth,environment,feminism,gender equality,women�۪s rights,education,determination,solidarity",,"pink, text, font, purple, magenta",,,"pink,equality,education,environment,we march",,,,,"We march for equality, education, and the environment!",,"Equality, Education, Environment",solidarity,,determination,"civil rights, earth, environment, feminism, gender equality, women�۪s rights, education",block,text only,paint
100B0001_DSC1745,"civil rights,earth,environment,feminism,gender equality,women�۪s rights,education,determination,solidarity",,"pink, text, font, magenta, area",,,"we stand,equality,education,environment,pink",,,,,"We stand for equality, education, and the environment!",,"Equality, Education, Environment",solidarity,,determination,"civil rights, earth, environment, feminism, gender equality, women�۪s rights, education",block,text only,paint
100B0001_DSC1746,"feminism,gender equality,institutions, supreme court, political parties,women's rights,trump,healthcare,Humor,Rage,demand",,"pink, text, purple, font, handwriting",,,"healthcare,hands,tiny hands,keep off,trump","references Trump's 'tiny' hands and his comments on grabbing women to talk about protecting healthcare",,,,Keep your tiny hands off my healthcare. ,,Keep Off,demand,"popular memes, Things Trump said","Humor, Rage","feminism, gender equality, institutions,  supreme court,  political parties, women's rights, trump, healthcare",Handwritten,text,Marker
100B0001_DSC1747,"trans rights,trump,safety,Rage,Indignation,Determination,demand,solidarity",,"text, font, signage, sign, brand",,,"hastag,not my president,trans rights,safety",,,,different colors and sizes for emphasis,Keep Trans People Safe,,Keep Trans Safe,"demand, solidarity",internet,"Rage, Indignation, Determination","trans rights, trump, safety","Block, Decorative, Handwritten",text,"Print, paint"
100B0001_DSC1749,"dreamers,immigration,migrant rights,trump,institutions,supreme court,political parties,women�۪s rights,rage,demand,solidarity",,"text, font, banner, area, poster",,,"women,Trump,wall,Trump will pay",,,,colorful block lettering,Women are the wall and Trump will pay. ,,Trump Will Pay,"demand, solidarity",things trump said,rage,"dreamers, immigration, migrant rights, trump, institutions, supreme court, political parties, women�۪s rights",block,text only,marker
100B0001_DSC1750,"black lives matter,civil rights,climate,dreamers,earth,environment,feminism,gender equality,lgbtq,love,race,science,women's rights,kindness,Loving,Determination,encouragement,solidarity",,"text, font, banner, advertising",,,"rainbow,human rights,love is love,black lives matter,climate change",,,,love is love: letter O is filled in with rainbow for LGBT community,"We believe: black lives matter, women's rights are human rights, no human is illegal, science is real, love is love, kindness is everything",,We Believe,"encouragement, solidarity","pop culture, famous protest slogan","Loving, Determination","black lives matter, civil rights, climate, dreamers, earth, environment, feminism, gender equality, lgbtq, love, race, science, women's rights, kindness",Block,"text, collage",Marker
100B0001_DSC1753,"feminism,gender equality,lgbtq,women's rights,trump,uterus,women�۪s rights,humor,rage,determination,demand,solidarity,call to action",,"green, pink, yellow, vertebrate, text",,theme of pink in signs,"cat,pussyhat,resist,claws,pink triangle",,,,"image of cat wearing pussyhat with ""Resist"" written on the hat, pink triangle for nose, pink claws",Resist,"cat face, claws, pink triangle, pussyhat",Resist Cat,"demand, solidarity, call to action","things trump said, famous protest slogan, historic reference","humor, rage, determination","feminism, gender equality, lgbtq, women's rights, trump, uterus, women�۪s rights","block, handwritten","collage, text, illustration","drawing, marker, crayola, paint"
100B0001_DSC1754,"civil rights,gender equality,migrant rights,women's rights,Determination,demand,solidarity",,"text, font, writing, design, handwriting, calligraphy, product, number, pattern, drawing",,,"liberty,justice,peace,pledge of allegiance",,,,,We want liberty and justice for all!,"mars symbol, venus symbol, peace sign, heart",Liberty and Justice,"demand, solidarity",pop culture,Determination,"civil rights, gender equality, migrant rights, women's rights","Block, Cursive, Handwritten","text, illustration","Drawing, Marker"
