id,imageid,year,keywords,_titel,_bemerkung,_ausleihe,_rueckgabe,_digitalisat1,_digitalisat2,_digitalisat3,_opac,_verfasser
1,133480518,1819,"Buchwesen,Nachschlagewerk,Naturwissenschaften,Technik,Physik,Optik,Farbenlehre",The Elgin Marbles,,28.04.1819,05.06.1819,https://archive.org/details/gri_33125011134182,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10000612910,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014284736,https://lhwei.gbv.de/DB=2/PPN?PPN=133480518,
2,133481891,1812,"Kunst,Ästhetik,Bildende Kunst,Skulptur",Levezow über die Med. Venus.,"Entleihung vermutlich zwischen dem 11. und 14.04.1812. - Rückgabe spätestens am 13.03.1813, da nicht mehr auf Blatt 125 v übertragen.",XX.04.1812,XX.XX.18XX,https://archive.org/details/berdiefrageobdi00levegoog,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10000470815,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014283288,https://lhwei.gbv.de/DB=2/PPN?PPN=133481891,"Levezow, Konrad"
3,135036232,1820,"Theologie,Kirchenlehre","Macculloch's western Island of Scotland T. I-III. 3 Vol.","Keudell ermittelte dasselbe Werk, gibt aber die flaschen Signatruen an. Unter Aa 6 : 613 [h, i] steht das Werk: Logan, James: The Scottish Gae͏̈l; or, Celtic manners, as preserved among the Highlanders : being an historical and descriptive account of the inhabitants, antiquities and national peculiarities of Scotland. Vol. 1 und Vol. 2. ",25.03.1820,26.06.1820,https://archive.org/details/adescriptionwes02maccgoog,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10000612955,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014285088,https://lhwei.gbv.de/DB=2/PPN?PPN=135036232,"Macculloch, John"
4,135196205,1828,"Geschichte,Weltgeschichte,Mittelmeer,Altertum,Mittelalter",Tomasini de tesseris hospitalitatis,Erst in Ausleihjournal Loc A 35.16 Rückgabedatum vermerkt und ausgestrichen. ,06.11.1828,09.02.1829,https://archive.org/details/jacphilippitomas00toma,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10000710099,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014286928,https://lhwei.gbv.de/DB=2/PPN?PPN=135196205,"Tomasini, Giacomo Filippo"
5,135715784,1820,"Kunst,Ästhetik,Archäologie,Ur- und Frühgeschichte",Quednow Trierische Alterthümer.,,17.09.1820,09.11.1820,https://archive.org/details/bub_gb_5xwFAAAAYAAJ,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10000612960,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014285125,https://lhwei.gbv.de/DB=2/PPN?PPN=135715784,"Quednow, Carl Friedrich "
6,13720678X,1816,"Kunst,Ästhetik,Bildende Kunst,Skulptur",Lettres of Nelson to Lady Hamilton T. I. II.,"In Ausleihjournal Loc A 35.9 aufgeführt in einem gemeinsamen Verzeichnis ""Herr Cam̄errath Cam̄erjunker von Goethe. auch Ihro Excellenz H# Geheimerath u. Staatsminister"".",13.09.1816,07.10.1816,https://archive.org/details/lettersoflordnel00nelsiala,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10000602211,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014284172,https://lhwei.gbv.de/DB=2/PPN?PPN=13720678X,"Nelson, Horatio"
7,137368143,1817,,Unedited Antiquities of Attica. Lond. 1817.,Rückgabe vor dem 30.11.1818 (kein Übertrag in Ausleihjournal Loc A 35.11).,29.09.1817,XX.XX.18XX,https://archive.org/details/gri_33125008533677,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10000606468,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014284321,https://lhwei.gbv.de/DB=2/PPN?PPN=137368143,
8,138143463,1825,"Biographien,Memoiren,Leichenpredigten,Briefe,Einzelne Personen",Sybel biographische Nachrichten,,04.06.1825,17.04.1826,https://archive.org/details/b22025807,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10000644448,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014286002,https://lhwei.gbv.de/DB=2/PPN?PPN=138143463,"Sybel, Johann Karl"
9,138630178,1825,"Geographie,Reisebeschreibungen,Mittelamerika,Südamerika,Amerika","Humboldt: the Climate, Inhabitans etc and Mines of Mexico",,29.03.1825,30.04.1825,https://archive.org/details/selectionsfromw08taylgoog,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10000644438,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014285923,https://lhwei.gbv.de/DB=2/PPN?PPN=138630178,"Humboldt, Alexander, von "
10,138790620,1795,"Geschichte,Regionalgeschichte,Lokalgeschichte,Ausland,Kunst,Ästhetik,Bildende Kunst,Graphik,Geographie,Reisebeschreibungen,Europa,Italien,Spanien,Portugal","Weinlichs Briefe über Rom, in 1 Bde",Rückgabe vor dem 06.12.1797 (kein Übertrag in Ausleihjournal Loc A 35.2).,02.11.1795,XX.XX.17XX,https://archive.org/details/briefeuberromver01wein,https://haab-digital.klassik-stiftung.de:443/viewer/image/1513411535/104/,https://haab-digital.klassik-stiftung.de:443/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10014281020,https://lhwei.gbv.de/DB=2/PPN?PPN=138790620,"Weinlig,  Christian Traugott"
