id,imagenum,year,keywords,_inventar_nr,_titel,_personen,_funktion,_durchmesser,_abmessungen,_gewicht,_material,_literatur,_ortdatierung,_beschreibung,_schlagworte
46854,2,1780,"Preußen,Friedrich II.,König von Preußen,Münze",X 2558,"Taler, Königreich Preußen, Friedrich II. (1740-1786), Provinz Schlesien, 1781",,,"3,83 cm",,"22,2 g",Silber,"Das Preußische Münzwesen im 18. Jahrhundert, Bd. 1, H. 2, Die Münzen aus der Zeit des Königs Friedrich II. des Großen, bearb. v. Friedrich Freiherr von Schrötter, Berlin 1904 (Acta Borussica. Denkmäler der Preußischen Staatsverwaltung im 18. Jahrhundert)., S. 41, Nr. 484. 
 Schön, Gerhard: Deutscher Münzkatalog. 18. Jahrhundert, 3. Aufl., München 2002, S. 147, lfd. Nr. 151","Breslau, 1781","Vs: Umschrift unter Strichrand: FRIDERICUS BORUSSORUM REX 
Kopf des Königs mit Lorbeerkranz nach rechts 
RS: Umschrift: EIN REICHS THALER 
Bekrönter Adler auf Trophäen; im Abschnitt 17 = B = 81 
Laubrand","Preußen
Friedrich II., König von Preußen
Münze
"
46866,2,1870,"Preußen,Wilhelm I.,Deutscher Kaiser,Kaiserreich,Münze",X 2649,"10 Mark (Krone), Deutsches Reich, Königreich Preußen, Wilhelm I. (1861-1888), 1872","Weigand, Emil; Stempelschneider, Vorderseite
Kullrich, Wilhelm; Stempelschneider, Rückseite
 ",,"1,96 cm",,"4,1 g",Gold; Kupfer,"Jaeger, Kurt: Die deutschen Münzen seit 1871. mit Prägezahlen und Bewertungen, 19. Aufl., Regenstauf 2005, S. 238, lfd. Nr. 242. 
 Arnold, Paul / Küthmann, Harald / Steinhilber, Dirk: Grosser deutscher Münzkatalog von 1800 bis heute, Augsburg 1997, S. 237, lfd. Nr. 111","Berlin, 1872","Vs: Umschrift unter Stabrand und Perlkreis: WILHELM DEUTSCHER KAISER KÖNIG V. PREUSSEN 
Kopf des Kaisers nach rechts; darunter Münzzeichen: A 

Rs: Umschrift unter Stabrand und Perlkreis: DEUTSCHES = REICH, Eichenzweig 
Gekrönter Reichsadler mit großem Brustschild, der von der Kette des Schwarzen Adlerordens mit Kleinod umgeben ist; auf dem Schild gekrönter Adler mit Zepter und Reichsapfel in den Fängen; unterhalb der Fänge des Reichsadlers: 20 = M.; unten: 18 = 72 
Rand: Ranke Kreuz Ranke","Preußen
Wilhelm I., Deutscher Kaiser
Kaiserreich
Münze
"
46876,2,1830,"Ausbeutemünze,Preußen,Friedrich Wilhelm III.,König von Preußen,Münze",X 2603,"Ausbeutetaler, Königreich Preußen, Friedrich Wilhelm III. (1797-1840), 1831",,,"3,43 cm",,"22,1 g",Silber,"Weyl, Adolph: Die Paul Henckel'sche Sammlung Brandenburg-Preussischer Münzen und Medaillen, Teil 1, Mark Brandenburg, Berlin 1876, S. 229, lfd. Nr. 2331. 
 Nachtrag zur Paul Henckel'schen Sammlung Brandenburg-Preussischer Münzen und Medaillen, bearb. v. Adolph Weyl, Berlin 1877, S. 3; S. 10. 
 Arnold, Paul / Küthmann, Harald / Steinhilber, Dirk: Grosser deutscher Münzkatalog von 1800 bis heute, Augsburg 1997, S. 224f., lfd. Nr. 18. 
 Jaeger, Kurt: Die Münzprägungen der deutschen Staaten vor Einführung der Reichswährung. (1806 - 1873), Bd. 9, Königreich Preußen 1786 - 1873, 2. Aufl., Basel 1970, Nr. 63","Berlin, 1831","Vs: Umschrift unter Stabrand und Perlkreis: FRIEDR. WILHELM III KOENIG V. PREUSSEN 
Kopf des Königs nach rechts; darunter Münzzeichen: A 

Rs: Umschrift unter Stabrand und Perlkreis: EIN THALER. XIV. EINE FEINE MARK 1831 
Im Feld: SEGEN DES / MANSFELDER / BERGBAUES 
Randschrift: GOTT [Ranke] [Kreuz] [Ranke] MIT [Ranke] [Kreuz] [Ranke] UNS [Ranke] [Kreuz] [Ranke]","Ausbeutemünze
Preußen
Friedrich Wilhelm III., König von Preußen
Münze
"
47007,2,1530,"Albrecht,Herzog von Preußen,Preußen (Herzogtum),Münze",X 2403,"Dreigröscher, Herzogtum Preußen, Herzog Albrecht von Brandenburg (1525-1569), 1537",,,"2,26 cm",,"2,7 g",Silber,"Saurma-Jeltsch, Hugo von: Die Saurmasche Münzsammlung deutscher, schweizerischer und polnischer Gepräge. Von etwa dem Beginn der Groschenzeit bis zur Kipperperiode, Berlin 1892, Nachdruck Berlin 1986 (Transpress-Reprint), S. 127, lfd. Nr. 5053. 
 Weyl, Adolph: Die Paul Henckel'sche Sammlung Brandenburg-Preussischer Münzen und Medaillen, Teil 2, Die Provinzen Preussen, Pommern, Posen und Schlesien, Berlin 1876, S.6, lfd. Nr. 3129",1537,"Vs: Umschrift: ALBER * D * G * MAR * BRAN * DVX * PRVS * 
Brustbild des Herzogs im Harnisch nach rechts 

Rs: * III * / · GROSS : AR : / · TRIPLEX · / · ALBER : DVC · / · PRVSSIE · / * 1537 *","Albrecht, Herzog von Preußen
Preußen (Herzogtum)
Münze
"
47110,2,1860,"Preußen,Wilhelm I.,Deutscher Kaiser,Vereinsmünze,Münze",X 2637,"Taler, Königreich Preußen, Wilhelm I. (1861-1888), 1864",,,"3,31 cm",,"18,7 g",Silber,"Arnold, Paul / Küthmann, Harald / Steinhilber, Dirk: Grosser deutscher Münzkatalog von 1800 bis heute, Augsburg 1997, S. 236, lfd. Nr. 99. 
 Weyl, Adolph: Die Paul Henckel'sche Sammlung Brandenburg-Preussischer Münzen und Medaillen, Teil 1, Mark Brandenburg, Berlin 1876, S. 261, lfd. Nr. 2788. 
 Nachtrag zur Paul Henckel'schen Sammlung Brandenburg-Preussischer Münzen und Medaillen, bearb. v. Adolph Weyl, Berlin 1877, S. 3; S. 21; S.22. 
 Jaeger, Kurt: Die Münzprägungen der deutschen Staaten vor Einführung der Reichswährung. (1806 - 1873), Bd. 9, Königreich Preußen 1786 - 1873, 2. Aufl., Basel 1970, Nr. 96","Berlin, 1864","Vs: Umschrift unter Stabrand und Perlkreis: WILHELM KOENIG VON PREUSSEN 
Kopf des Königs nach rechts; unten Münzzeichen A 

Rs: Umschrift unter Stabrand und Perlkreis: EIN VEREINSTHALER XXX EIN PFUND FEIN 1864 
Gekrönter Adler mit Zepter und Reichsapfel in den Fängen sowie der Kette des Schwarzen Adlerordens mit Kleinod um den Hals; auf der Brust das Monogramm FR 
Randschrift: GOTT [Ranke] [Kreuz] [Ranke] MIT [Ranke] [Kreuz] [Ranke] UNS [Ranke] [Kreuz] [Ranke]","Preußen
Wilhelm I., Deutscher Kaiser
Vereinsmünze
Münze
"
47114,2,1910,"Dohna-Schlodien,Nikolaus zu,Weltkrieg (1914-1918),Marine,Hilfskreuzer,Kriegsanleihe,Medaille",X 2744,"Medaille auf die Heimkehr des Hilfskreuzers ""Möve"" in einen deutschen Hafen am 4.3.1916, Deutsches Kaiserreich, 1916","Goetz, Karl (Künstler); Medailleur
 ",,"5,6 cm",,"49,8 g","Eisen, gegossen",,1916,"Satirische Medaille zur Zeichnung der IV. Reichs-Kriegsanleihe (Kriegspropaganda) 
Vs: Seeungeheuer, teilweise in Gestalt eines Löwen, mit der Kopfbedeckung eines britischen Admirals, steht in offenen Booten, die mit Kanonen bestückt sind, an einem befindet eine Fahne der britischen Marine. Eine Möve fliegt nah an seinem Kopf vorbei und berührt mit einem Flügel die Nase des Löwenkopfes: Darüber die Umschrift: S·M·S·MÖWE·HEIMKEHR 

Rs: Zwei Fischkörper bilden eine Kartusche, darin die Zeilen: DAS WELTMEER BE- / HERRSCHENDE ALBION / ZEICHNET IN GOLD / EINE MILLION 
Zwischen den Schwanzflossen: 4. MÄRZ / 1916; daneben: K = G 
Im Abschnitt: IV. REICHS-KRIEGS / ANLEIHE","Dohna-Schlodien, Nikolaus zu
Weltkrieg (1914-1918)
Marine
Hilfskreuzer
Kriegsanleihe
Medaille
"
47281,2,1670,"Reinstein,Brandenburg,Friedrich Wilhelm,Kurfürst von Brandenburg,Sachsen (Provinz),Münze",X 2465,"Gulden, Regensteiner Zweidritteltaler, Kurfürstentum Brandenburg, Provinz Sachsen, Friedrich Wilhelm (1640-1688), 1675","Arendsburg, Johann; Münzmeister
 ",Münzmeister,"4,06 cm",,"19,2 g",Silber,"Weyl, Adolph: Die Paul Henckel'sche Sammlung Brandenburg-Preussischer Münzen und Medaillen, Teil 3, Die Provinzen Sachsen, Rheinprovinz (mit Hohenzollern), Westfalen, Hannover, Schleswig-Holstein, sowie Ansbach-Bayreuth, Neuenburg, Berlin 1876, Vgl.: S. 33, lfd. Nr. 4722. 
 Nachtrag zur Paul Henckel'schen Sammlung Brandenburg-Preussischer Münzen und Medaillen, bearb. v. Adolph Weyl, Berlin 1877, S. 18, S. 28","Reinstein, Grafschaft Regenstein, 1675","Regensteiner Zweidritteltaler 
Vs: Umschrift unter Strichelrand: FRID : WILH : D : G : M : B :: ELEC  
Brustbild des Kurfürsten mit deutschem Harnisch, Halsbinde und Umhang nach rechts; unten links und rechts vom Harnisch 16 = 75; 

Rs: Umschrift unter Stichelrand: MONETA · NO : = ARG · REINS 
Kurhut über dem eingebogenen zehnfeldigen Wappenschild, letztes Feld Regenstein, unten im Oval 2/3, an den Seiten I = A","Reinstein
Brandenburg
Friedrich Wilhelm, Kurfürst von Brandenburg
Sachsen (Provinz)
Münze
"
47295,2,1570,"Brandenburg,Johann Georg,Kurfürst von Brandenburg,Münze",X 2444,"Taler, Kurfürstentum Mark Brandenburg, Kurfürst Johann Georg (1571-1598), 1573","Schreck, Conrad; Münzmeister
 ",Münzmeister,"4,15 cm",,"28,89 g",Silber,"Bahrfeldt, Emil: Das Münzwesen der Mark Brandenburg, Bd. 2, Unter den Hohenzollern bis zum Großen Kurfürsten von 1415 bis 1640, Neudr. d. Ausg. Berlin 1895, S. 255, lfd. Nr. 496a; S. 536. 
 Weyl, Adolph: Die Paul Henckel'sche Sammlung Brandenburg-Preussischer Münzen und Medaillen, Teil 1, Mark Brandenburg, Berlin 1876, S. 41, lfd. Nr. 442. 
 Nachtrag zur Paul Henckel'schen Sammlung Brandenburg-Preussischer Münzen und Medaillen, bearb. v. Adolph Weyl, Berlin 1877, S. 3; S. 34","Berlin, 1573","Vs: Umschrift zwischen Strichel-/ Perlkreisen: [Münzmeisterzeichen] IOHANS + GEORG + D + G + MARC + BRAND + SACRI 
Im Kreis geharnischtes Brustbild des Kurfürsten nach rechts, das Zepter geschultert, die linke Hand am Schwertgriff; links in Schulterhöhe 15, rechts 73 

Rs: Umschrift zwischen Perlkreisen: ROM + IMP + ARC * - * CAM + ET + ELECT · 
Durch ein dreifach behelmtes, sechzehnfeldiges Wappen, oben und unten geteilte Kreise; links und rechts vom Wappen Rankenwerk. Über dem mittleren Helm Münzmeisterzeichen Berlin.","Brandenburg
Johann Georg, Kurfürst von Brandenburg
Münze
"
47370,2,1840,"Preußen,Friedrich Wilhelm IV.,König von Preußen,Münze",X 2616,"Taler, Königreich Preußen, Friedrich Wilhelm IV. (1840-1861), 1844",,,"3,43 cm",,"22,3 g",Silber,"Jaeger, Kurt: Die Münzprägungen der deutschen Staaten vor Einführung der Reichswährung. (1806 - 1873), Bd. 9, Königreich Preußen 1786 - 1873, 2. Aufl., Basel 1970, Nr. 73. 
 Arnold, Paul / Küthmann, Harald / Steinhilber, Dirk: Grosser deutscher Münzkatalog von 1800 bis heute, Augsburg 1997, S. 232, lfd. Nr. 74. 
 Steguweit, Wolfgang / Kluge, Bernd: Suum cuique. Medailllenkunst und Münzprägung in Brandenburg-Preußen, Berlin 2008, Vgl.: S. 2656, lfd. Nr. 226","Berlin, 1844","Vs: Umschrift unter Stabrand und Perlkreis: FRIEDR. WILHELM IV KOENIG V. PREUSSEN 
Kopf des Königs nach rechts; unten Münzzeichen A 

Rs: Umschrift unter Stabrand und Perlkreis: EIN THALER = XIV EINE F. M. 18 = 44 
Bekrönter Schild mit vierzehn Wappen auf einem Lorbeerkranz, umgeben von der Kette des Schwarzen Adlerordens mit Kleinod 
Randschrift: GOTT [Ranke] [Kreuz] [Ranke] MIT [Ranke] [Kreuz] [Ranke] UNS [Ranke] [Kreuz] [Ranke]","Preußen
Friedrich Wilhelm IV., König von Preußen
Münze
"
47412,2,1910,"Carl Poellath (Firma),Dohna-Schlobitten,Friedrich zu,Preußen/Ulanen-Regiment (8),Medaille",X 2742,"Medaille 100 Jahre Ulanen-Regiment ""Graf zu Dohna"" (Ostpreußisches) Nr. 8, 1912, Deutsches Kaiserreich, 1912",,,"4,02 cm",,"22,6 g","Bronze, versilbert",,"Schrobenhausen, 1912","Medaille mit geprägter Öse und Ring, am weißorangenem Band mit Nadel 
Vs: Umschrift: GRAF FRIEDRICH = ZU DOHNA 
Brustbild des preußischen Generalfeldmarschalls Karl Friedrich Emil Burggraf zu Dohna-Schlobitten (1784-1859) in Uniform mit Pour le mérite und umgelegtem Mantel 

Rs: Geflügelte weibliche Person führt mit der rechten Hand ein Pferd, geritten von einem Ulanen in der Uniform der deutsch-russischen Legion von 1912 und mit der linken das Pferd mit Reiter vom 8. ostpreußischen Ulanenregiment Nr. 8. Neben den Pferden die Jahreszahlen 1812 = 1912. 
Im Abschnitt: ULANEN-REGIMENT / ""GRAF ZU DOHNA"" / (OSTPR·) Nº 8 
Randaufschrift: C. POELLATH SCHROBENH","Carl Poellath (Firma)
Dohna-Schlobitten, Friedrich zu 
Preußen/Ulanen-Regiment (8)
Medaille
"
