id,year,keywords,imagenum,_verfasser,_ort,_titel,_umfang,_inhalt,_beilagen
KnF_1756-1,1756,"Flugschrift,Reskript,Dokumentenanhang,Österreich,Staatsschrift",19,"Kaunitz-Rietberg, Wenzel Anton von","Wien, Prag: Trattner, 1756",Kaiserlich-Königliches Circular-Rescript de dato den 20. Septembris 1756.,20 Seiten,Maria Theresia widerlegt Friedrichs II. Legitimierung des Überfalls auf Sachsen; weist den Vorwurf der Rüstungen von sich; Verstöße gegen das Völkerrecht aufseiten Friedrichs II.; unakzeptables Verhalten der Preußen gegenüber der polnisch-sächsischen Königsfamilie.,"I. Inhalt der mündlichen Antwort Ihro Majestät der Kaiserin Königin / Precis De la reponse verbale de sa Majesté l´Imperatrice Reine; II. Erstes Memoire des Preußischen Ministers von Klinggräff / Memoire de Msr. de Klinggraeff Ministre du Roi de Prusse, III. Antwort auf das von den von Klinggräff den 20 August übergebene Memoire / Reponse Au Memoire présenté par Monsieur de Klinggraeff le 20. Aout 1756; IV. Zweytes Memoire des Herrn von Klinggräff / Memoire de Mr. de Klinggräff; V. Antwort auf das zweyte Memoire des Herrn von Klinggräff, vom 2ten Sept. 1756 / Reponse au second Memoire présenté par Mr. de Klinggraeff, le 2. Septembr. 1756; VI. Extract Graf Sternbergischen Bericht-Schreibens, de dato Dresden den 10. Septembris 1756."
KnF_1756-10,1756,"Flugschrift,Brief,Reichsverfassung,Preußen,Österreich,Natur- und Völkerrecht,Rechtsfrage,Kriegsschuldfrage,Geschichte als Argument",27,"[Kahle, Ludwig Martin]",1756,"Schreiben eines Freundes aus L** an einen Freund in Cölln am Rhein, über das Kayserliche Hof-Decret vom 14. Sept. 1756. und die darin befindlichen Avocatorien.",28 Seiten,"Propreußische Auseinandersetzung  eines nicht namentlich erwähnten Autors in einem Schreiben an dessen Bekannten mit dem an den Reichstag gerichteten kaiserlichen Hof-Decret vom 14. September 1756 an den Reichstag, „den gewaltsamen Einfall in die Chur-Sächsische Lande von denen Chur-Brandenburgischen Völkern, betreffend“; im Mittelpunkt stehen die Doppelnatur des Kaisers als Oberhaupt des Reiches und als Gemahl der Erzherzogin von Österreich, die Rolles Reichshofrates sowie das Recht der Reichsstände zur Selbsthilfe und die entsprechenden Regelungen im Landfrieden.
Der Kaiser und der Reichshofrat sind nicht neutral; letzterer dient der Durchsetzung der habsburgischen Interessen.
",
KnF_1756-11,1756,"Flugschrift,Brief,Reichsverfassung,Preußen,Österreich,Natur- und Völkerrecht,Rechtsfrage,Kriegsschuldfrage,Geschichte als Argument",27,"[Kahle, Ludwig Martin]",1756,"Schreiben eines Freundes aus L** an einen Freund in Cölln am Rhein, über Das Kayserliche Hof-Decret vom 14ten Septbr. 1756. und die darin befindlichen Avocatorien.",28 Seiten,"Propreußische Auseinandersetzung  eines nicht namentlich erwähnten Autors in einem Schreiben an dessen Bekannten mit dem an den Reichstag gerichteten kaiserlichen Hof-Decret vom 14. September 1756 an den Reichstag, „den gewaltsamen Einfall in die Chur-Sächsische Lande von denen Chur-Brandenburgischen Völkern, betreffend“; im Mittelpunkt stehen die Doppelnatur des Kaisers als Oberhaupt des Reiches und als Gemahl der Erzherzogin von Österreich, die Rolles Reichshofrates sowie das Recht der Reichsstände zur Selbsthilfe und die entsprechenden Regelungen im Landfrieden.",
KnF_1756-12,1756,"Flugschrift,Geschichte als Argument,Brief,Sachsen,Preußen,Soldatentum",29,"[Maubert de Gouvest, Jean Henri]","Varsovie: Zanki, 1756","Sisteme Et Conduite De La Prusse, Ou Lettres D'un General Saxon A Un Gentil Homme Silesien Dans les Armées Prussiennes; Pour servir de Réponse Aux Manifestes, Exposés, Memoires, Remonstrances, & autres Ecrits, Du Ministere Prussien.",30 Seiten,"Schreiben eines vorgeblich sächsischen Generals im Ausland (Thüringen) an seinen in preußischen Diensten stehenden Vetter, ein Baron aus Schlesien; der erste Brief, angeblich in Jena am 29. Oktober 1756 verfasst, reagiert auf ein Angebot des Barons an den General, ebenfalls in den Dienst Preußens zu treten.; zweites Schreiben, in Jena am 30. Oktober 1756 verfasst, setzt sich mit der am 15. Oktober 1756 durch den Geschäftsträger Preußens von der Hellen an die Generalstaaten übergebenen „Réponse du sr. de Hellen ministre du Roi auprès des Etats Généraux Au Memoire que le sr. de Cauderbach résident des Saxe a remis à leurs Hautes Puissances en date du 29 septembre 1756“ auseinander.  ",
KnF_1756-13,1756,"Flugschrift,Replik,Sachsen,Rechtsfrage,Staatsschrift,Pro Memoria",7,[Johann Georg von Ponickau],1756,Chur-Sächsisches Gegen-Pro Memoria auf die Königl. Preußische Erklärung de dato 4. Octobris 1756. Den Einfall in die Chur-Sächsischen Lande betreffend.,"8 Seiten, Druck unvollständig","Reaktion auf: „Pro Memoria. Regensburg, 4. October 1756 – Sr. Königlichen Majestät in Preussen an alle Dero Höchst- und Hohe Mitstände des Reichs abgelassene Circulare. 1756. – Königlich preussisches Circularrescript de dato den 5. October 1756.“ Beschwerde des sächsischen Gesandten beim Reichstag über den Einmarsch Preußens und dessen feindlichen Verhaltens in Sachsen sowie Bitte um schnelle Unterstützung durch die anderen Reichsstände mit dem Ziel der Restitution und Entschädigung des Landes;  Zurückweisung der im Pro-Memoria vom 4. Oktober 1756 erhobenen und bisher nicht belegten Vorwürfe Preußens, auf deren Basis der Einmarsch erfolgte; Betonung der eigenen Friedfertigkeit und Vertragstreue; Preußen bricht den Reichsfrieden und leugnet sein gegen das Natur- und Völkerrecht verstoßendes Verhalten in Sachsen; der Einmarsch verletzt die Grundsätze des Reiches und dessen Gesetze, v. a. die des Landfriedens und des Westfälischen Friedens; Friedrich II. zur Einhaltung dieser Gesetze zu zwingen ist im Interesse aller Reichsstände, sonst droht ihnen ein Schicksal wie Sachsen; Friedrich bedroht also die reichsständischen Freiheiten und kann sich nicht – wie im Pro-Memoria geschehen –  als Verteidiger dieser und der sich aus diesen ergebenden profanen wie religiösen Rechte bezeichnen.",
KnF_1756-14,1756,"Flugschrift,Predigt,Preußen",19,,"Dresden, 1756","Predigt, über das ordentliche Evangelium am drey und zwanzigsten Sonntage nach Trinitatis, welche in höchster Gegenwart Sr. Königlichen Majestät in Preussen, in der Kreuz-Kirche zu Dreßden am 21sten Novembr. 1756. gehalten, und, auf höchstgedachter Seiner Königlichen Majestät ausdrückliches allergnädigstes Verlangen, dem Druck übergeben worden / von D. Johann Joachim Gottlob am Ende, Pfarrern und Superint. auch des Ober-Consistorii Assessorn daselbst.",20 Seiten,"Gedanken in der am 21. November 1756 durch den Superintendenten J. J. G. am Ende in
der Dresdner Kreuzkirche in Anwesenheit Friedrichs II. gehaltenen Predigt zum Thema „suum cuique“: Verpflichtungen, die sich daraus gegenüber Gott,
der Obrigkeit, den Mitmenschen, den irdischen Dingen und dem eigenen
Seelenheil ergeben; Erfüllung dieser Verpflichtungen führt zu Gerechtigkeit, Wohlstand und Gottes Schutz; jeder Untertan schuldet seiner Obrigkeit Gehorsam, diese ihm dafür Schutz; Bestandteil der Pflichten aller, v. a. aber von Herrschern: gegenüber dem Feind Gerechtigkeit und Großmut; Bitte um den Beistand Gottes für Sachsen, Kurfürst Friedrich August II. von Sachsen und dessen Familie sowie für Friedrich II.
",
KnF_1756-15,1756,"Flugschrift,Preußen,Sachsen,Rechtsfrage,Kriegsschuldfrage,Polen",7,"[Hertzberg, Ewald Friedrich von]","ohne Impressum, [1756]",Betrachtungen über das von der Republik Pohlen bey gegenwärtigen Zeitläuften zu haltende Betragen.,8 Seiten,"Erwartung der Neutralität Polens, sowohl hinsichtlich des preußischen Einmarsches in Sachsen als auch des Bündnisses zwischen Rußland und Österreich mit Verweis auf die polnisch-preußische Geschichte („Freundschaft“), gemeinsame Interessen und Gefahren für Polen im Falle der Teilnahme an einem Krieg; Einmarsch richtet sich nur gegen Sachsen; Verbindung Polens als Wahlmonarchie und Republik mit Sachsen nur durch die temporäre Personalunion des gemeinsamen Herrschers; schon aus machtpolitischen Gründen ist die Politik Preußens auf den Erhalt der Unabhängigkeit Polens gerichtet; diese würde durch eine Beteiligung Polens an der Allianz zwischen Rußland und Österreich gefährdet, wie die früheren, jetzt im Besitz der Habsburger befindlichen Wahlmonarchien Böhmen und Ungarn zeigen; deshalb sollte Polen sich nicht durch antipreußische Flugschriften aufhetzen lassen.",
KnF_1756-16,1756,"Flugschrift,Replik,Rechtsfrage,Preußen,Österreich,Streitschrift,Kriegsschuldfrage,Reich,Sachsen,Geschichte als Argument",35,,"Wien, Prag: Trattner, 1756","Die Beantwortung Des, unter dem Titul: Ursachen, welche Seine Königliche Majestät in Preussen bewogen, Sich wider die Absichten des Wienerischen Hofes zu setzen, und deren Ausführung vorzukommen, kund gewordenen Kriegs-Manifests.",36 Seiten,"Österreichische Replik auf  „Exposé des motifs, qui ont obligé Sa Majesté le Roi de Prusse, á prevénir less desseins de la cour de Vienne.“ / deutsch: „Ursachen welche Se. Königl. Maj. in Preussen bewogen, Sich wider die Absichten des Wienerschen Hoffes zu setzen, und deren Ausführung vorzukommen.“ aus dem Oktober 1756; gegen Friedrich als „Friedens-Stöhrer“ sollen „Bundes-Genossen“, „andere Mächte“, v. a. aber die „Reichs-Mit-Stände“ Österreich entsprechend der Reichsverfassung und zum Schutz ihrer eigenen Freiheit unterstützen. Friedrich mißachtet das Völkerrecht, will nicht die Religion schützen, haßt Österreich, weil es das Reich  beschirmt, und ist von Herrschsucht und dem Wunsch nach Vergrößerung Preußens getrieben. Mit der erzwungenen Öffnung des Dresdner Kabinettsarchives habe er nur versucht, seine Intrigen zu verschleiern. Österreich bedrohe Preußen nicht, sondern verteidige sich rechtmäßig. Friedrich verhält sich wortbrüchig, unköniglich und undankbar, da er vergesse, wie sich Maria Theresias Vater für ihn bei seinem Vater eingesetzt habe.",
KnF_1756-17,1756,"Flugschrift,Streitschrift,Replik,Rechtsfrage,Kriegsschuldfrage,Preußen,Österreich,Geschichte als Argument,Sachsen,Reich",7,,"Wien, Prag, 1756","Beantwortung des, unter dem Titul: Ursachen, welche Se. Königl. Majestät in Preussen bewogen, sich wider die Absichten des Wienerischen Hofes zu setzen, und deren Ausführung vorzukommen, kund gewordenen Kriegs-Manifests.",8 Seiten,"Österreichische Replik auf  „Exposé des motifs, qui ont obligé Sa Majesté le Roi de Prusse, á prevénir less desseins de la cour de Vienne.“ / deutsch: „Ursachen welche Se. Königl. Maj. in Preussen bewogen, Sich wider die Absichten des Wienerschen Hoffes zu setzen, und deren Ausführung vorzukommen.“ aus dem Oktober 1756; gegen Friedrich als „Friedens-Stöhrer“ sollen „Bundes-Genossen“, „andere Mächte“, v. a. aber die „Reichs-Mit-Stände“ Österreich entsprechend der Reichsverfassung und zum Schutz ihrer eigenen Freiheit unterstützen. Friedrich mißachtet das Völkerrecht, will nicht die Religion schützen, haßt Österreich, weil es das Reich  beschirmt, und ist von Herrschsucht und dem Wunsch nach Vergrößerung Preußens getrieben. Mit der erzwungenen Öffnung des Dresdner Kabinettsarchives habe er nur versucht, seine Intrigen zu verschleiern. Österreich bedrohe Preußen nicht, sondern verteidige sich rechtmäßig. Friedrich verhält sich wortbrüchig, unköniglich und undankbar, da er vergesse, wie sich Maria Theresias Vater für ihn bei seinem Vater eingesetzt habe.",
KnF_1756-18,1756,"Flugschrift,Staatsschrift",4,,"Frankfurt, Leipzig, 1756",Vollständige Sammlung aller derjenigen Staats-Schriften welche aus Gelegenheit des in Teutschland ausgebrochenen Krieges von denen hierbey intereßirten Hohen Machten publicirt worden: In vier Classen abgetheilt.,2 Blatt,Verzeichnis von Staats- und Streitschriften.,
