imageid,keywords,year,_material,_height,_width,_time,_description
db57c17d-0cb7-4048-8e95-74d969d8b7a7,"sketch,drawing",1890,"chalk on paper",850,1340,1890,"Contours of a Figure"
972dc0d8-e05f-443b-90e3-9a4aa437dc9b,"Paris,painting,study,Still Life",1886,"oil on cardboard",2700,3500,1886,"Male Torso"
91bd6b75-fbbd-4319-8b8b-e7a4f4853ccf,"Paris,painting,study,Still Life",1887,"oil on canvas",2710,4080,1887,"Plaster Cast of a Woman&#39;s Torso"
814d3d6c-afea-470a-b597-ef5ba49eb98b,"Nuenen,sketch,drawing",1884,"pencil on paper",750,1240,"1884 - 1885","Head of a Man"
dc256110-8a5e-4990-a627-99209b8ffe37,"Nuenen,sketch,drawing",1884,"pencil on paper",750,1240,"1884 - 1885","Head of a Woman and an indistinct image"
e9388d8a-4140-4cc5-a4cd-f126ad58b012,"Arles,painting,Cityscape",1888,"oil on canvas",9150,7200,1888,"The Yellow House (The Street)"
0b74a654-4a4b-4b6f-8495-87a483ec9a82,"Auvers-sur-Oise,drawing,Animals",1890,"pencil on paper",4370,2690,1890,"Horse and Carriage"
5c9f429e-a5c0-4a1d-a3e3-10a3bb9637ce,"Saint-Rémy-de-Provence,painting,Figures,Peasant Life",1889,"oil on canvas",2800,4200,1889,"Thresher (after Millet)"
13639afb-6349-489a-8152-2cb64e69376a,"Saint-Rémy-de-Provence,drawing,Figures,Animals,Peasant Life",1889,"chalk on paper",2470,3300,1889,"Study of Horses and Peasants"
46960944-a6e2-49a9-94ef-9f1ef0751589,"Saint-Rémy-de-Provence,drawing,landscape",1890,"pencil on paper",3290,2490,1890,"The Walled Wheatfield"
889a3b96-f3ef-4427-a553-7e356d578f64,"Saint-Rémy-de-Provence,drawing,Figures,Peasant Life",1890,"chalk on paper",2730,2390,1890,"Man Working in a Field"
c6b20c92-f6da-474e-adc7-46d72a781cd6,"Paris,drawing,Cityscape",1887,pencil,2410,3160,1887,"Shed with Sunflowers"
0ad0cb5f-7c16-43e7-a605-ca30ba61c605,"The Hague,print,Figures",1882,lithography,2700,4280,1882,"Old Man Drinking Coffee"
83da3869-9a30-4646-b467-6a58d9ffc375,"Nuenen,sketch,drawing",1884,"chalk on paper",750,1240,"1884 - 1885","Head of a Woman"
c91194a7-f117-46bd-8668-ead62ee695e3,"sketch,drawing",1890,"chalk on paper",850,1340,1890,"Contours of a figure"
1e83d4de-a660-4842-8753-0892047b3bbc,"The Hague,drawing,Animals",1883,pencil,6350,5100,1883,"Old Nag"
cf696b4b-ab7f-4569-a148-8759e0bf8f0e,"The Hague,print,Figures",1882,lithography,3150,4800,1882,"A Workman&#39;s Meal Break"
61d2f0c1-c21a-45bb-9b5f-8a9809087501,"Saint-Rémy-de-Provence,painting,landscape,Nature",1889,"oil on canvas",6430,4900,1889,Undergrowth
851ec99a-b770-4ee5-a98d-4661126105a9,"Auvers-sur-Oise,drawing,Townscape,landscape",1890,pencil,5440,4400,1890,"Landscape with Houses"
8cfb287d-7f94-4bad-a1b4-9185bf84602e,"Antwerp,drawing,interior",1885,"chalk on paper",1630,920,1885,"Couple Dancing"
ab0ec6d5-4ea5-441f-807f-f724b8933456,"The Hague,drawing,Figures,Heads",1882,pencil,2800,5010,"1882 - 1883","Head of a Woman"
1bd6411a-5d6c-40ea-a897-210d12364b28,"Paris,painting,Self-Portrait",1887,"oil on canvas",3130,4320,1887,Self-Portrait
f412250b-68e5-453c-80cd-bc83c0168c8d,"Arles,painting,Still Life",1889,"oil on canvas",7300,9500,1889,Sunflowers
fdb8b70a-bc04-4680-b5a7-3a87e642a40f,"Etten,drawing,Figures",1881,pencil,2420,3080,1881,"Study of a Hand"
a2bbfb33-e81f-4bb6-ac80-6c5ecbd06e3a,"sketch,drawing",1890,"pencil on paper",850,1340,1890,"Standing Girl"
5bbc2368-1461-47e5-b7b6-36167de7436b,"1871 - 1880,The Hague,drawing,Cityscape",1872,pencil,1690,2220,"1872 - 1873","Lange Vijverberg, The Hague"
b48991c4-5ec5-4cc8-9b14-e9a68f412a6d,"Nuenen,drawing,Still Life",1885,"chalk on paper",2100,3450,1885,"Clock, Clog with Cutlery and a Spoon Rack"
415c5ade-8b62-4f4b-a59a-1d5c4b402362,"Paris",1886,"chalk on paper",1980,1090,1886,Note
7c262ae9-2af2-467e-89ca-45ca84d82f95,"1871 - 1880,Brussels,drawing,study,Portrait",1880,"pencil on paper",3050,4260,"1880 - 1881","The Daughter of Jacob Meyer (after Bargue after Holbein)"
c82c2fcd-90e8-4de6-b23d-f28c2af907d6,"Arles,painting,Cityscape,landscape",1888,"oil on canvas",7360,5960,1888,"The Langlois Bridge"
9762d6b4-703b-41e7-86fe-9ac41d651b81,"Auvers-sur-Oise,drawing,Townscape",1890,"chalk on paper",2370,3100,1890,"Village Street"
15e349e1-283f-498a-9fdb-f838459fccd8,"sketch,drawing",1890,"chalk on paper",850,1340,1890,"Woman on a Velocipede"
